t,S1,E1,I1,R1,S2,E2,I2,R2,S3,E3,I3,R3,S4,E4,I4,R4,S5,E5,I5,R5,S6,E6,I6,R6,S7,E7,I7,R7,S8,E8,I8,R8,S9,E9,I9,R9,S10,E10,I10,R10,S11,E11,I11,R11,S12,E12,I12,R12,S13,E13,I13,R13,S14,E14,I14,R14,S15,E15,I15,R15,S16,E16,I16,R16
0,249,1,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.0959055163609894,248.998679160783,0.952074962759388,0.0488511897579891,0.000394686699118216,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.164878830192007,248.996155788341,0.920614706161534,0.0820807911953082,0.0011487143017108,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.233852144023025,248.992382765596,0.891503102554601,0.113837958430132,0.00227617341884419,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.270089701571006,248.981852566694,0.876202622657738,0.129832985579234,0.00300950862493936,249.998998960299,6.99863764867165e-06,1.03704854439986e-06,2.40386763631497e-08,250.001151753483,5.83802931042699e-06,8.6507378887945e-07,2.00523596954822e-08,250.008929426567,6.41987411273359e-06,9.51290143285333e-07,2.20508363037508e-08,249.990824844331,6.32498491324167e-05,9.37213279279807e-06,2.17242842530361e-07,249.998916145294,7.89109599443104e-05,1.16927364687083e-05,2.71033601126793e-07,250.00107094103,7.6011437253282e-05,1.12630965608906e-05,2.61074707330308e-07,250.008849951396,7.54320548832717e-05,1.11772461869083e-05,2.59084731112966e-07,249.990824844331,6.32498491324167e-05,9.37213279279807e-06,2.17242842530361e-07,249.998916145294,7.89109599443104e-05,1.16927364687083e-05,2.71033601126793e-07,250.00107094103,7.6011437253282e-05,1.12630965608906e-05,2.61074707330308e-07,250.008849951396,7.54320548832717e-05,1.11772461869083e-05,2.59084731112966e-07,249.990824844331,6.32498491324167e-05,9.37213279279807e-06,2.17242842530361e-07,249.998916145294,7.89109599443104e-05,1.16927364687083e-05,2.71033601126793e-07,250.00107094103,7.6011437253282e-05,1.12630965608906e-05,2.61074707330308e-07,250.008849951396,7.54320548832717e-05,1.11772461869083e-05,2.59084731112966e-07
0.306327259118986,248.92824652523,0.856848137218412,0.144641445789857,0.00381661644837761,249.9926906003,5.16561067676228e-05,8.71983504495418e-06,2.30087937440269e-07,250.008406069775,4.33460478152365e-05,7.31705346613556e-06,1.9307314531206e-07,250.065183319173,4.75801380307677e-05,8.03179069906471e-06,2.11932717515127e-07,249.933021550262,0.000452733978831424,7.64238710852771e-05,2.01657459617919e-06,249.992088834597,0.000564556908247549,9.53001660122199e-05,2.51465790346347e-06,250.007818808739,0.000543884137975163,9.1810494599409e-05,2.42257696151614e-06,250.064605844821,0.000539776780134389,9.11171513748809e-05,2.40428191854172e-06,249.933021550262,0.000452733978831424,7.64238710852771e-05,2.01657459617919e-06,249.992088834597,0.000564556908247549,9.53001660122199e-05,2.51465790346347e-06,250.007818808739,0.000543884137975163,9.1810494599409e-05,2.42257696151614e-06,250.064605844821,0.000539776780134389,9.11171513748809e-05,2.40428191854172e-06,249.933021550262,0.000452733978831424,7.64238710852771e-05,2.01657459617919e-06,249.992088834597,0.000564556908247549,9.53001660122199e-05,2.51465790346347e-06,250.007818808739,0.000543884137975163,9.1810494599409e-05,2.42257696151614e-06,250.064605844821,0.000539776780134389,9.11171513748809e-05,2.40428191854172e-06
0.403844955322144,248.647246331609,0.794814701593937,0.178763906456751,0.00627847295891577,249.958930085392,0.000316585651295756,7.12006031186919e-05,2.50063921396875e-06,250.047123442508,0.000272650363072721,6.13192061461013e-05,2.1535897951574e-06,250.36575057299,0.000296947252260671,6.67836776421327e-05,2.34550851687612e-06,249.624156282436,0.00239058458621316,0.000537662065205398,1.88835311663765e-05,249.955654897098,0.00297327468995554,0.000668714205685074,2.34862919302748e-05,250.043925820834,0.00286642081642982,0.000644681782032243,2.26422338283299e-05,250.36260820089,0.00284590160887791,0.0006400667832022,2.24801467195462e-05,249.624156282436,0.00239058458621316,0.000537662065205398,1.88835311663765e-05,249.955654897098,0.00297327468995554,0.000668714205685074,2.34862919302748e-05,250.043925820834,0.00286642081642982,0.000644681782032243,2.26422338283299e-05,250.36260820089,0.00284590160887791,0.0006400667832022,2.24801467195462e-05,249.624156282436,0.00239058458621316,0.000537662065205398,1.88835311663765e-05,249.955654897098,0.00297327468995554,0.000668714205685074,2.34862919302748e-05,250.043925820834,0.00286642081642982,0.000644681782032243,2.26422338283299e-05,250.36260820089,0.00284590160887791,0.0006400667832022,2.24801467195462e-05
0.484350152747391,248.485313587266,0.755597109464059,0.205292731162695,0.00871308694186542,249.939923414829,0.000477655912000283,0.000129768734292956,5.50759748202643e-06,250.068840340616,0.000416083085745976,0.000113040432197894,4.79761437001574e-06,250.534593346961,0.000451625376573738,0.000122696569416469,5.20743790516498e-06,249.450619176276,0.00334888649281449,0.000909836705529074,3.86153600816575e-05,249.935199316318,0.00415911112107104,0.00112996170309945,4.79579308027034e-05,250.064226989244,0.0040112339295807,0.00108978579555412,4.62527788810319e-05,250.530061250993,0.00398345440793824,0.00108223848976819,4.59324538469143e-05,249.450619176276,0.00334888649281449,0.000909836705529074,3.86153600816575e-05,249.935199316318,0.00415911112107104,0.00112996170309945,4.79579308027034e-05,250.064226989244,0.0040112339295807,0.00108978579555412,4.62527788810319e-05,250.530061250993,0.00398345440793824,0.00108223848976819,4.59324538469143e-05,249.450619176276,0.00334888649281449,0.000909836705529074,3.86153600816575e-05,249.935199316318,0.00415911112107104,0.00112996170309945,4.79579308027034e-05,250.064226989244,0.0040112339295807,0.00108978579555412,4.62527788810319e-05,250.530061250993,0.00398345440793824,0.00108223848976819,4.59324538469143e-05
0.579901704753158,248.581947622484,0.740200232116553,0.242403791443426,0.0124234888366051,249.953391002609,0.000342823967436043,0.000112253358560431,5.75296103832129e-06,250.053441254768,0.000296286616018689,9.70149177422655e-05,4.97198571783168e-06,250.414900193706,0.000322351291239524,0.000105549552126593,5.40938571101371e-06,249.573571812552,0.00253180555207717,0.000829028731809146,4.24880454589281e-05,249.949620765496,0.00314758264369716,0.00103066287112884,5.28218849770441e-05,250.049760046098,0.00303481524447686,0.000993737503510804,5.09294419160002e-05,250.411282951566,0.00301329378621955,0.000986690313973187,5.05682688804837e-05,249.573571812552,0.00253180555207717,0.000829028731809146,4.24880454589281e-05,249.949620765496,0.00314758264369716,0.00103066287112884,5.28218849770441e-05,250.049760046098,0.00303481524447686,0.000993737503510804,5.09294419160002e-05,250.411282951566,0.00301329378621955,0.000986690313973187,5.05682688804837e-05,249.573571812552,0.00253180555207717,0.000829028731809146,4.24880454589281e-05,249.949620765496,0.00314758264369716,0.00103066287112884,5.28218849770441e-05,250.049760046098,0.00303481524447686,0.000993737503510804,5.09294419160002e-05,250.411282951566,0.00301329378621955,0.000986690313973187,5.05682688804837e-05
0.676171812351037,248.844427619052,0.742893631793068,0.285019525519219,0.0171719849805648,249.987839390555,7.63976844414442e-05,2.92937749851801e-05,1.76467770494078e-06,250.013971457192,6.43816954874512e-05,2.46861964138296e-05,1.48710902301752e-06,250.108379107924,7.05790423203055e-05,2.70625409844535e-05,1.63026289894496e-06,249.888592190643,0.000654486357908243,0.000250965718072815,1.51186261802672e-05,249.986799330043,0.000815834930601497,0.000312835913011805,1.88458054999407e-05,250.01295640381,0.000786040020649218,0.000301410826421789,1.81575356783177e-05,250.107381060623,0.000780146759130654,0.000299150989683793,1.80213981511437e-05,249.888592190643,0.000654486357908243,0.000250965718072815,1.51186261802672e-05,249.986799330043,0.000815834930601497,0.000312835913011805,1.88458054999407e-05,250.01295640381,0.000786040020649218,0.000301410826421789,1.81575356783177e-05,250.107381060623,0.000780146759130654,0.000299150989683793,1.80213981511437e-05,249.888592190643,0.000654486357908243,0.000250965718072815,1.51186261802672e-05,249.986799330043,0.000815834930601497,0.000312835913011805,1.88458054999407e-05,250.01295640381,0.000786040020649218,0.000301410826421789,1.81575356783177e-05,250.107381060623,0.000780146759130654,0.000299150989683793,1.80213981511437e-05
