Type1,Type2,Type3,Type4,Type5,Type6
23.9359534666738,23.9531557398392,24.1337996673704,23.8160285597276,30.1298569764328,30.0976024922681
53.9831610346962,53.2405707242562,71.5944678019058,75.480354729472,85.172177929819,86.4777287246351
54.0541205390265,54.1243069223845,72.4433721691408,77.3515391017536,83.1053181759602,87.537109958399
54.9799628661553,54.5077092430057,74.1988375844626,80.4758403217377,83.586298897192,87.0177259608116
73.0141263831359,53.2071982092547,73.380788666883,53.6117275170279,85.172177929819,66.6603665963502
72.2387652736327,54.1243069223845,71.4008257315498,53.9604550578142,85.172177929819,66.2179056678407
72.7120913379732,54.1243069223845,73.0499226524414,53.9604550578142,84.1820237696419,65.7702766915291
74.9884773961876,53.411298854731,71.5944678019058,54.8024615100839,85.172177929819,66.3687660196537
73.0141263831359,53.2071982092547,73.380788666883,53.6117275170279,85.172177929819,66.6603665963502
72.2387652736327,54.1243069223845,71.4008257315498,53.9604550578142,85.172177929819,66.2179056678407
72.7120913379732,54.1243069223845,73.0499226524414,53.9604550578142,84.1820237696419,65.7702766915291
74.9884773961876,53.411298854731,71.5944678019058,54.8024615100839,85.172177929819,66.3687660196537
73.0141263831359,53.2071982092547,73.380788666883,53.6117275170279,85.172177929819,66.6603665963502
72.2387652736327,54.1243069223845,71.4008257315498,53.9604550578142,85.172177929819,66.2179056678407
72.7120913379732,54.1243069223845,73.0499226524414,53.9604550578142,84.1820237696419,65.7702766915291
74.9884773961876,53.411298854731,71.5944678019058,54.8024615100839,85.172177929819,66.3687660196537
