t,S1,E1,I1,R1,S2,E2,I2,R2,S3,E3,I3,R3,S4,E4,I4,R4,S5,E5,I5,R5,S6,E6,I6,R6,S7,E7,I7,R7,S8,E8,I8,R8,S9,E9,I9,R9,S10,E10,I10,R10,S11,E11,I11,R11,S12,E12,I12,R12,S13,E13,I13,R13,S14,E14,I14,R14,S15,E15,I15,R15,S16,E16,I16,R16
0,249,1,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.0959055163609894,248.998679160783,0.952074962759388,0.0488511897579891,0.000394686699118216,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.181169464100296,248.99537526957,0.913532313229567,0.0897104687585337,0.0013819484422942,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.224934917131817,248.99293893849,0.895139519806787,0.109811565599817,0.00210997610383242,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.241692650576762,248.991877248528,0.888336302443615,0.117359215103892,0.00242723392480305,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.258450384021707,248.991021231683,0.881607831079692,0.124818701139648,0.00276528736769967,249.999285844974,1.23431556257171e-05,1.74755141673042e-06,3.87159955074833e-08,250.001961009342,1.51337666649308e-05,2.14264780634225e-06,4.74691284689254e-08,249.998494265985,1.25577930048234e-05,1.7779398992921e-06,3.93892347091464e-08,250.000211822568,1.07336728112163e-06,1.51968000132048e-07,3.36676380133282e-09,249.999298622837,1.18069371585569e-06,1.67163340051613e-07,3.70340778141424e-09,250.001976613074,1.50268665678428e-06,2.12751294150843e-07,4.71338264543816e-09,249.998507289545,1.18069444181786e-06,1.67163443027844e-07,3.70341006649843e-09,250.000211822568,1.07336728112163e-06,1.51968000132048e-07,3.36676380133282e-09,249.999298622837,1.18069371585569e-06,1.67163340051613e-07,3.70340778141424e-09,250.001976613074,1.50268665678428e-06,2.12751294150843e-07,4.71338264543816e-09,249.998507289545,1.18069444181786e-06,1.67163443027844e-07,3.70341006649843e-09,250.000211822568,1.07336728112163e-06,1.51968000132048e-07,3.36676380133282e-09,249.999298622837,1.18069371585569e-06,1.67163340051613e-07,3.70340778141424e-09,250.001976613074,1.50268665678428e-06,2.12751294150843e-07,4.71338264543816e-09,249.998507289545,1.18069444181786e-06,1.67163443027844e-07,3.70341006649843e-09
0.280201454065895,248.992418790262,0.872551899181595,0.134302748444417,0.00323300534463091,249.991598141019,0.000143744962110841,2.2125077443382e-05,5.3260626470632e-07,250.02307009399,0.000176241772133712,2.71269531801918e-05,6.53013994752338e-07,249.98228560481,0.00014624138283729,2.25093239612357e-05,5.41856044826632e-07,250.002491965818,1.25061434495149e-05,1.92493280899661e-06,4.63379745425062e-08,249.991748620097,1.37553863833932e-05,2.11721500161919e-06,5.09666905511063e-08,250.023253851595,1.75049330964058e-05,2.69434139332706e-06,6.48595744261668e-08,249.982438973694,1.37554827331659e-05,2.11722983182727e-06,5.09670475529001e-08,250.002491965818,1.25061434495149e-05,1.92493280899661e-06,4.63379745425062e-08,249.991748620097,1.37553863833932e-05,2.11721500161919e-06,5.09666905511063e-08,250.023253851595,1.75049330964058e-05,2.69434139332706e-06,6.48595744261668e-08,249.982438973694,1.37554827331659e-05,2.11722983182727e-06,5.09670475529001e-08,250.002491965818,1.25061434495149e-05,1.92493280899661e-06,4.63379745425062e-08,249.991748620097,1.37553863833932e-05,2.11721500161919e-06,5.09666905511063e-08,250.023253851595,1.75049330964058e-05,2.69434139332706e-06,6.48595744261668e-08,249.982438973694,1.37554827331659e-05,2.11722983182727e-06,5.09670475529001e-08
0.388956804286834,249.032898039084,0.823977985344994,0.178226367936914,0.00602020245734428,249.862149827611,0.00223363024380556,0.000483125709308713,1.63191592187326e-05,250.378502286528,0.0027381279428494,0.000592246668981126,2.00050774247108e-05,249.709362326451,0.00227157932176678,0.000491334041191807,1.65964226425148e-05,250.040882878933,0.000195910097242526,4.23744557961391e-05,1.43133752437031e-06,249.864619644046,0.00021515063711838,4.65361281073124e-05,1.57191162316732e-06,250.381518205929,0.000273340789756469,5.91224421398992e-05,1.99705572638429e-06,249.71187854917,0.000215173840328565,4.65411452185197e-05,1.57208110690504e-06,250.040882878933,0.000195910097242526,4.23744557961391e-05,1.43133752437031e-06,249.864619644046,0.00021515063711838,4.65361281073124e-05,1.57191162316732e-06,250.381518205929,0.000273340789756469,5.91224421398992e-05,1.99705572638429e-06,249.71187854917,0.000215173840328565,4.65411452185197e-05,1.57208110690504e-06,250.040882878933,0.000195910097242526,4.23744557961391e-05,1.43133752437031e-06,249.864619644046,0.00021515063711838,4.65361281073124e-05,1.57191162316732e-06,250.381518205929,0.000273340789756469,5.91224421398992e-05,1.99705572638429e-06,249.71187854917,0.000215173840328565,4.65411452185197e-05,1.57208110690504e-06
0.492714096697003,249.05863855762,0.784798149854437,0.217053740561351,0.0093785160056959,249.7657629125,0.00362251147444178,0.00100183541690844,4.32873284175603e-05,250.64306200879,0.00444019720367488,0.00122797323981706,5.30582960677913e-05,249.506171642442,0.00368302714903225,0.00101857164884795,4.40104681781e-05,250.069457102753,0.000319642243312785,8.83994781323492e-05,3.81956760122374e-06,249.769978746104,0.00035063880015565,9.69718529256054e-05,4.18996292394706e-06,250.648209941635,0.000444930255677284,0.000123048936640398,5.31670217525695e-06,249.510465372301,0.00035069995143695,9.69887625592805e-05,4.19069355418118e-06,250.069457102753,0.000319642243312785,8.83994781323492e-05,3.81956760122374e-06,249.769978746104,0.00035063880015565,9.69718529256054e-05,4.18996292394706e-06,250.648209941635,0.000444930255677284,0.000123048936640398,5.31670217525695e-06,249.510465372301,0.00035069995143695,9.69887625592805e-05,4.19069355418118e-06,250.069457102753,0.000319642243312785,8.83994781323492e-05,3.81956760122374e-06,249.769978746104,0.00035063880015565,9.69718529256054e-05,4.18996292394706e-06,250.648209941635,0.000444930255677284,0.000123048936640398,5.31670217525695e-06,249.510465372301,0.00035069995143695,9.69887625592805e-05,4.19069355418118e-06
0.60588800532122,249.009139384478,0.759852221354995,0.260375918655309,0.0139739218962666,249.854636704028,0.00217170784725717,0.000744047854113264,3.99307217884792e-05,250.39883305055,0.00266219458004242,0.000912093516863195,4.89492080862545e-05,249.693604036364,0.00220855757873212,0.000756673088401986,4.06082784878231e-05,250.043082085518,0.000190567164585922,6.52898013385377e-05,3.50389998480039e-06,249.857307582206,0.000209264753500488,7.16958019354139e-05,3.8476899058843e-06,250.402094483817,0.000265837858236831,9.10782919935771e-05,4.88788750394449e-06,249.696325034823,0.000209288446140088,7.17039150529276e-05,3.84812529293043e-06,250.043082085518,0.000190567164585922,6.52898013385377e-05,3.50389998480039e-06,249.857307582206,0.000209264753500488,7.16958019354139e-05,3.8476899058843e-06,250.402094483817,0.000265837858236831,9.10782919935771e-05,4.88788750394449e-06,249.696325034823,0.000209288446140088,7.17039150529276e-05,3.84812529293043e-06,250.043082085518,0.000190567164585922,6.52898013385377e-05,3.50389998480039e-06,249.857307582206,0.000209264753500488,7.16958019354139e-05,3.8476899058843e-06,250.402094483817,0.000265837858236831,9.10782919935771e-05,4.88788750394449e-06,249.696325034823,0.000209288446140088,7.17039150529276e-05,3.84812529293043e-06
