t,S1,E1,I1,R1,S2,E2,I2,R2,S3,E3,I3,R3,S4,E4,I4,R4,S5,E5,I5,R5,S6,E6,I6,R6,S7,E7,I7,R7,S8,E8,I8,R8,S9,E9,I9,R9,S10,E10,I10,R10,S11,E11,I11,R11,S12,E12,I12,R12,S13,E13,I13,R13,S14,E14,I14,R14,S15,E15,I15,R15,S16,E16,I16,R16
0,249,1,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.0959055163609894,248.998679160783,0.952074962759388,0.0488511897579891,0.000394686699118216,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.162495201158163,248.996264166062,0.921661934485203,0.0809575704570476,0.00111632899546185,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.229084885955337,248.992682593586,0.893442560932857,0.111688267641412,0.00218657783963566,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.245752242602259,248.991609466349,0.886707782063675,0.119175497863369,0.00250725372368536,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0
0.26241959924918,248.988328561105,0.879711858179265,0.126527588293551,0.00284735928895722,250.012014292793,2.41903822722119e-05,3.47926219492253e-06,7.82965748458194e-08,249.99762045256,2.60499227111149e-05,3.74671686580494e-06,8.43153181050542e-08,249.992856687879,3.10104520542075e-05,4.46018160309052e-06,1.00370976933079e-07,249.99738619712,2.54298988947854e-05,3.6575398621685e-06,8.23084977529767e-08,250.012008602288,2.91513082985887e-05,4.19278396062801e-06,9.43535169172433e-08,249.997624483186,2.25360632073534e-05,3.24132427045072e-06,7.29420705827348e-08,249.992863089443,2.54296314242939e-05,3.65750140975652e-06,8.23076325032534e-08,249.99738619712,2.54298988947854e-05,3.6575398621685e-06,8.23084977529767e-08,250.012008602288,2.91513082985887e-05,4.19278396062801e-06,9.43535169172433e-08,249.997624483186,2.25360632073534e-05,3.24132427045072e-06,7.29420705827348e-08,249.992863089443,2.54296314242939e-05,3.65750140975652e-06,8.23076325032534e-08,249.99738619712,2.54298988947854e-05,3.6575398621685e-06,8.23084977529767e-08,250.012008602288,2.91513082985887e-05,4.19278396062801e-06,9.43535169172433e-08,249.997624483186,2.25360632073534e-05,3.24132427045072e-06,7.29420705827348e-08,249.992863089443,2.54296314242939e-05,3.65750140975652e-06,8.23076325032534e-08
0.278065557121589,248.9782026159,0.872005157239255,0.1331600435868,0.00318037026920902,250.062528757673,0.000124929061822097,1.90773068050082e-05,4.55638638631808e-07,249.987615543901,0.000134505017265357,2.05396042745935e-05,4.90563864100079e-07,249.962822395768,0.000160088297226199,2.44463021072819e-05,5.83870666630327e-07,249.986396348403,0.000131308246873132,2.00514410657182e-05,4.78904670023439e-07,250.062499161997,0.000150523057161878,2.29856409029988e-05,5.48984521181556e-07,249.987636503455,0.000116379439431051,1.77717357497806e-05,4.24456636816833e-07,249.962855683999,0.000131301022562894,2.00503378952742e-05,4.78878322264875e-07,249.986396348403,0.000131308246873132,2.00514410657182e-05,4.78904670023439e-07,250.062499161997,0.000150523057161878,2.29856409029988e-05,5.48984521181556e-07,249.987636503455,0.000116379439431051,1.77717357497806e-05,4.24456636816833e-07,249.962855683999,0.000131301022562894,2.00503378952742e-05,4.78878322264875e-07,249.986396348403,0.000131308246873132,2.00514410657182e-05,4.78904670023439e-07,250.062499161997,0.000150523057161878,2.29856409029988e-05,5.48984521181556e-07,249.987636503455,0.000116379439431051,1.77717357497806e-05,4.24456636816833e-07,249.962855683999,0.000131301022562894,2.00503378952742e-05,4.78878322264875e-07
0.35629534648363,248.843003119011,0.821172765214957,0.162148520198374,0.0050012671905009,250.784066451878,0.00149772078159545,0.000295735728314631,9.12158911812318e-06,249.844724632137,0.00160780458905491,0.000317472700005529,9.792041894652e-06,249.533848568081,0.00190854831248809,0.000376856872344217,1.16236750282323e-05,249.829435650286,0.00157037525891045,0.000310081985991557,9.56408408873481e-06,250.783702534602,0.00180009119203108,0.000355441056849569,1.09631264019591e-05,249.84498177485,0.00139415069489651,0.000275285105912773,8.49081703330936e-06,249.534256893692,0.00156928006978288,0.000309865762611061,9.55741589144937e-06,249.829435650286,0.00157037525891045,0.000310081985991557,9.56408408873481e-06,250.783702534602,0.00180009119203108,0.000355441056849569,1.09631264019591e-05,249.84498177485,0.00139415069489651,0.000275285105912773,8.49081703330936e-06,249.534256893692,0.00156928006978288,0.000309865762611061,9.55741589144937e-06,249.829435650286,0.00157037525891045,0.000310081985991557,9.56408408873481e-06,250.783702534602,0.00180009119203108,0.000355441056849569,1.09631264019591e-05,249.84498177485,0.00139415069489651,0.000275285105912773,8.49081703330936e-06,249.534256893692,0.00156928006978288,0.000309865762611061,9.55741589144937e-06
0.438189475728473,248.661483078597,0.76678883111296,0.187734684344625,0.00717764784722776,251.751619613126,0.00318873215486051,0.000780680059587859,2.98476160534674e-05,249.653164035401,0.00340953241455701,0.000834737693119804,3.19144023261278e-05,248.958698670753,0.00403289308387253,0.000987352097438522,3.7749295955571e-05,249.619004868245,0.00333234220842349,0.000815839577217414,3.11918718572723e-05,251.7508279797,0.00381992545354631,0.000935211984775639,3.57558182942302e-05,249.653721655731,0.00296492486731939,0.000725886602909468,2.7752709198229e-05,248.959583895115,0.00332707694735535,0.000814550576539212,3.11425919898223e-05,249.619004868245,0.00333234220842349,0.000815839577217414,3.11918718572723e-05,251.7508279797,0.00381992545354631,0.000935211984775639,3.57558182942302e-05,249.653721655731,0.00296492486731939,0.000725886602909468,2.7752709198229e-05,248.959583895115,0.00332707694735535,0.000814550576539212,3.11425919898223e-05,249.619004868245,0.00333234220842349,0.000815839577217414,3.11918718572723e-05,251.7508279797,0.00381992545354631,0.000935211984775639,3.57558182942302e-05,249.653721655731,0.00296492486731939,0.000725886602909468,2.7752709198229e-05,248.959583895115,0.00332707694735535,0.000814550576539212,3.11425919898223e-05
0.518356340512051,248.60459409489,0.736749449220545,0.214786762599713,0.00978629190332672,252.017802655198,0.003549499797281,0.00103472934421655,4.71448460567728e-05,249.600432110933,0.00379110124013946,0.00110515998499038,5.03538541738638e-05,248.800425393891,0.00447981922118077,0.00130593155336162,5.9501522663478e-05,249.561081114044,0.00370593052636778,0.00108033144198679,4.92226014553727e-05,252.01689087019,0.00424829439870683,0.00123843825428521,5.6426342373186e-05,249.601073801338,0.00329930793282009,0.000961794964548868,4.38217774112292e-05,248.801443996599,0.00369915929828299,0.00107835761813732,4.91326721294348e-05,249.561081114044,0.00370593052636778,0.00108033144198679,4.92226014553727e-05,252.01689087019,0.00424829439870683,0.00123843825428521,5.6426342373186e-05,249.601073801338,0.00329930793282009,0.000961794964548868,4.38217774112292e-05,248.801443996599,0.00369915929828299,0.00107835761813732,4.91326721294348e-05,249.561081114044,0.00370593052636778,0.00108033144198679,4.92226014553727e-05,252.01689087019,0.00424829439870683,0.00123843825428521,5.6426342373186e-05,249.601073801338,0.00329930793282009,0.000961794964548868,4.38217774112292e-05,248.801443996599,0.00369915929828299,0.00107835761813732,4.91326721294348e-05
