t,S1,E1,I1,R1,S2,E2,I2,R2,S3,E3,I3,R3,S4,E4,I4,R4,S5,E5,I5,R5,S6,E6,I6,R6,S7,E7,I7,R7,S8,E8,I8,R8,S9,E9,I9,R9,S10,E10,I10,R10,S11,E11,I11,R11,S12,E12,I12,R12,S13,E13,I13,R13,S14,E14,I14,R14,S15,E15,I15,R15,S16,E16,I16,R16
0,999,1,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0
0.0959055163609894,998.998675178823,0.952078878224418,0.0488512559875289,0.000394686965516112,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0
0.185971624546379,998.995117285253,0.91148352451129,0.0919445431243572,0.00145464711117843,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0
0.233975624231645,998.992351838142,0.891475164242986,0.113894471727579,0.00227852588736459,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0
0.281979623916912,998.957299773878,0.872031757639249,0.135100984722634,0.00327343309859126,999.999994995949,4.31874584283481e-06,6.69093365958687e-07,1.62113902776186e-08,999.96314216973,3.98687228684729e-06,6.17677072750035e-07,1.49656314132055e-08,1000.06914263986,3.98862955675476e-06,6.17949914039983e-07,1.49722467201376e-08,999.967665247662,3.51276077664947e-05,5.44221028297973e-06,1.31858489066144e-07,999.999947013461,4.57300668239592e-05,7.0848153591099e-06,1.71656913216577e-07,999.963098026176,4.20849984546626e-05,6.5200964129997e-06,1.57974424005237e-07,1000.06909849633,4.20867401796662e-05,6.52036684261794e-06,1.57980980881395e-07,999.967665247662,3.51276077664947e-05,5.44221028297973e-06,1.31858489066144e-07,999.999947013461,4.57300668239592e-05,7.0848153591099e-06,1.71656913216577e-07,999.963098026176,4.20849984546626e-05,6.5200964129997e-06,1.57974424005237e-07,1000.06909849633,4.20867401796662e-05,6.52036684261794e-06,1.57980980881395e-07,999.967665247662,3.51276077664947e-05,5.44221028297973e-06,1.31858489066144e-07,999.999947013461,4.57300668239592e-05,7.0848153591099e-06,1.71656913216577e-07,999.963098026176,4.20849984546626e-05,6.5200964129997e-06,1.57974424005237e-07,1000.06909849633,4.20867401796662e-05,6.52036684261794e-06,1.57980980881395e-07
0.324146709640451,998.818748176242,0.854136843839087,0.152884572829956,0.00427638977099089,999.999973336068,2.25202219913117e-05,4.03095909279958e-06,1.12750966560486e-07,999.806027850608,2.07970918745742e-05,3.72253119310685e-06,1.04123853168483e-07,1000.36387686249,2.08449992842539e-05,3.7311067949057e-06,1.04363726892179e-07,999.829831369256,0.000181261436004105,3.24444784956398e-05,9.07512467104197e-07,999.999720665388,0.000235924628199643,4.22287916403316e-05,1.18119188616341e-06,999.805795402961,0.000217121224761761,3.88631192786202e-05,1.0870498393822e-06,1000.36364441519,0.000217168842951842,3.88716431090382e-05,1.08728826495398e-06,999.829831369256,0.000181261436004105,3.24444784956398e-05,9.07512467104197e-07,999.999720665388,0.000235924628199643,4.22287916403316e-05,1.18119188616341e-06,999.805795402961,0.000217121224761761,3.88631192786202e-05,1.0870498393822e-06,1000.36364441519,0.000217168842951842,3.88716431090382e-05,1.08728826495398e-06,999.829831369256,0.000181261436004105,3.24444784956398e-05,9.07512467104197e-07,999.999720665388,0.000235924628199643,4.22287916403316e-05,1.18119188616341e-06,999.805795402961,0.000217121224761761,3.88631192786202e-05,1.0870498393822e-06,1000.36364441519,0.000217168842951842,3.88716431090382e-05,1.08728826495398e-06
0.444613139630109,998.237767832092,0.804845869213812,0.200044516991683,0.00776497973344286,999.999876538911,9.81257506472993e-05,2.43886565209231e-05,9.46682245769455e-07,999.144486414625,9.07461094591519e-05,2.25544741530864e-05,8.75485879267332e-07,1001.60486092571,9.16279666763658e-05,2.2773604425475e-05,8.8399277483164e-07,999.249471205727,0.00075663276097731,0.000188059769888286,7.29977376193881e-06,999.998761935587,0.00098399959933679,0.000244571469512164,9.4933442951983e-06,999.143461165279,0.000905602440324012,0.000225085984053841,8.73699115266777e-06,1001.60383567408,0.000906486114337912,0.000225305563750466,8.74551539504782e-06,999.249471205727,0.00075663276097731,0.000188059769888286,7.29977376193881e-06,999.998761935587,0.00098399959933679,0.000244571469512164,9.4933442951983e-06,999.143461165279,0.000905602440324012,0.000225085984053841,8.73699115266777e-06,1001.60383567408,0.000906486114337912,0.000225305563750466,8.74551539504782e-06,999.249471205727,0.00075663276097731,0.000188059769888286,7.29977376193881e-06,999.998761935587,0.00098399959933679,0.000244571469512164,9.4933442951983e-06,999.143461165279,0.000905602440324012,0.000225085984053841,8.73699115266777e-06,1001.60383567408,0.000906486114337912,0.000225305563750466,8.74551539504782e-06
0.552433284147832,998.214750429772,0.773256884679696,0.240796988384582,0.0117280119470172,999.99987318659,9.55955857389053e-05,2.97679720935437e-05,1.44985228522968e-06,999.133196068492,8.84082587530378e-05,2.75298627174921e-05,1.34084508634328e-06,1001.626035905,8.92780726101183e-05,2.78006529905163e-05,1.35403494666055e-06,999.239555170406,0.000736596915618696,0.000229375737297753,1.1171724156867e-05,999.99872924315,0.000957929590629418,0.000298298652715023,1.45286071137429e-05,999.132143833691,0.000881609921416569,0.000274532754487887,1.33710914215766e-05,1001.62498366767,0.00088248164436074,0.000274804137388166,1.33843100479609e-05,999.239555170406,0.000736596915618696,0.000229375737297753,1.1171724156867e-05,999.99872924315,0.000957929590629418,0.000298298652715023,1.45286071137429e-05,999.132143833691,0.000881609921416569,0.000274532754487887,1.33710914215766e-05,1001.62498366767,0.00088248164436074,0.000274804137388166,1.33843100479609e-05,999.239555170406,0.000736596915618696,0.000229375737297753,1.1171724156867e-05,999.99872924315,0.000957929590629418,0.000298298652715023,1.45286071137429e-05,999.132143833691,0.000881609921416569,0.000274532754487887,1.33710914215766e-05,1001.62498366767,0.00088248164436074,0.000274804137388166,1.33843100479609e-05
0.662155442142577,998.716153356749,0.752529255157888,0.282534451241103,0.0166495852206135,999.999961926379,2.72438874248636e-05,1.02270655694194e-05,6.02667806500397e-07,999.735059715121,2.51632989358268e-05,9.44601803015218e-06,5.566417646195e-07,1000.49700319472,2.52419824423526e-05,9.47546878276971e-06,5.583777949846e-07,999.767561625044,0.000218258681828106,8.19362691253825e-05,4.82837426662377e-06,999.999603025407,0.000284054101980357,0.000106636567960804,6.28392305193574e-06,999.734729544416,0.000261415670577198,9.81378844210676e-05,5.78310918672276e-06,1000.49667302458,0.000261493950673879,9.81671835236e-05,5.78483628347103e-06,999.767561625044,0.000218258681828106,8.19362691253825e-05,4.82837426662377e-06,999.999603025407,0.000284054101980357,0.000106636567960804,6.28392305193574e-06,999.734729544416,0.000261415670577198,9.81378844210676e-05,5.78310918672276e-06,1000.49667302458,0.000261493950673879,9.81671835236e-05,5.78483628347103e-06,999.767561625044,0.000218258681828106,8.19362691253825e-05,4.82837426662377e-06,999.999603025407,0.000284054101980357,0.000106636567960804,6.28392305193574e-06,999.734729544416,0.000261415670577198,9.81378844210676e-05,5.78310918672276e-06,1000.49667302458,0.000261493950673879,9.81671835236e-05,5.78483628347103e-06
0.715591519315539,998.898290074755,0.742860218573494,0.301982103163885,0.0193156892856946,999.999993866176,4.28302916739825e-06,1.73954219473807e-06,1.11252740368575e-07,999.957140976564,3.95393286951967e-06,1.6058642238382e-06,1.02703357942672e-07,1000.08039961001,3.95584071372794e-06,1.60655554169676e-06,1.0274776064258e-07,999.962398202189,3.4828837734534e-05,1.41498050802946e-05,9.04945995410432e-07,999.999935060387,4.53409129382531e-05,1.84206161324658e-05,1.17808409204218e-06,999.957086875671,4.1726873219325e-05,1.69523387762134e-05,1.08418092142661e-06,1000.08034550914,4.17287664484e-05,1.69530239422201e-05,1.08422493266315e-06,999.962398202189,3.4828837734534e-05,1.41498050802946e-05,9.04945995410431e-07,999.999935060387,4.53409129382531e-05,1.84206161324658e-05,1.17808409204218e-06,999.957086875671,4.1726873219325e-05,1.69523387762134e-05,1.08418092142661e-06,1000.08034550914,4.17287664483999e-05,1.69530239422201e-05,1.08422493266315e-06,999.962398202189,3.4828837734534e-05,1.41498050802946e-05,9.04945995410433e-07,999.999935060387,4.53409129382531e-05,1.84206161324658e-05,1.17808409204218e-06,999.957086875671,4.1726873219325e-05,1.69523387762134e-05,1.08418092142661e-06,1000.08034550914,4.17287664483999e-05,1.69530239422201e-05,1.08422493266315e-06
