Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6
24.1965545119308,24.0025522576097,24.0020993202302,23.9760944879096,30.1842155942588,30.0649183322224
54.182100116097,54.2113807706164,63.7067769226057,64.41636633008,78.3455625849215,76.4539611381814
53.2493419291852,54.1647173943353,63.0871991973114,65.3608074319938,76.8530045589304,77.2254656536049
54.0954260237528,53.0482975050965,64.1102712597128,65.0969540192611,76.5182609429994,77.2254656536049
65.0088864462697,54.1647173943353,63.0871991973114,54.4161454814501,78.3455625849215,67.2221858043086
64.5678907913985,53.4162418503148,64.4863285782122,53.5126522338318,76.8530045589304,65.9277009141279
63.5838285240995,54.4516810711718,63.3741383185422,53.6304559146799,78.3455625849215,66.2731916949958
64.5678907913985,54.1647173943353,64.1102712597128,53.6750783765973,78.1389552669128,66.3236503572955
65.0088864462697,54.1647173943353,63.0871991973114,54.4161454814501,78.3455625849215,67.2221858043086
64.5678907913985,53.4162418503148,64.4863285782122,53.5126522338318,76.8530045589304,65.9277009141279
63.5838285240995,54.4516810711718,63.3741383185422,53.6304559146799,78.3455625849215,66.2731916949958
64.5678907913985,54.1647173943353,64.1102712597128,53.6750783765973,78.1389552669128,66.3236503572955
65.0088864462697,54.1647173943353,63.0871991973114,54.4161454814501,78.3455625849215,67.2221858043086
64.5678907913985,53.4162418503148,64.4863285782122,53.5126522338318,76.8530045589304,65.9277009141279
63.5838285240995,54.4516810711718,63.3741383185422,53.6304559146799,78.3455625849215,66.2731916949958
64.5678907913985,54.1647173943353,64.1102712597128,53.6750783765973,78.1389552669128,66.3236503572955
