Scenario1,Scenario2
24.1965545119308,24.0025522576097
54.182100116097,54.2113807706164
53.2493419291852,54.1647173943353
54.0954260237528,53.0482975050965
65.0088864462697,54.1647173943353
64.5678907913985,53.4162418503148
63.5838285240995,54.4516810711718
64.5678907913985,54.1647173943353
65.0088864462697,54.1647173943353
64.5678907913985,53.4162418503148
63.5838285240995,54.4516810711718
64.5678907913985,54.1647173943353
65.0088864462697,54.1647173943353
64.5678907913985,53.4162418503148
63.5838285240995,54.4516810711718
64.5678907913985,54.1647173943353
