ID,Name,State,Value,Anomaly (1991-2020 base period),Rank,1991-2020 Mean
HI-001,Hawaii County,Hawaii,64.3,1,31,63.3
HI-003,Honolulu County,Hawaii,74.7,1,32,73.6
HI-005,Kalawao County,Hawaii,73.1,0.7,31,72.4
HI-007,Kauai County,Hawaii,71.8,0.9,31,70.9
HI-009,Maui County,Hawaii,71.1,0.7,31,70.4
