ID,Name,State,Value,Anomaly (1991-2020 base period),Rank,1991-2020 Mean
HI-001,Hawaii County,Hawaii,40.33,-22.96,2,63.29
HI-003,Honolulu County,Hawaii,33.3,-20.77,1,54.07
HI-005,Kalawao County,Hawaii,25.54,-23.6,2,49.14
HI-007,Kauai County,Hawaii,48.01,-27.44,1,75.45
HI-009,Maui County,Hawaii,27.7,-26.5,1,54.2
