ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
OK-003,Alfalfa County,Oklahoma,22.7,-4.79,28,27.49
OK-005,Atoka County,Oklahoma,38.25,-5.14,41,43.39
OK-007,Beaver County,Oklahoma,13.25,-7.22,8,20.47
OK-009,Beckham County,Oklahoma,20.03,-4.54,32,24.57
OK-011,Blaine County,Oklahoma,22.87,-5.62,21,28.49
OK-013,Bryan County,Oklahoma,37.92,-2.92,54,40.84
OK-015,Caddo County,Oklahoma,27.7,-2.65,45,30.35
OK-017,Canadian County,Oklahoma,29.02,-1.71,56,30.73
OK-019,Carter County,Oklahoma,28.18,-8.46,16,36.64
OK-021,Cherokee County,Oklahoma,49.12,5.52,95,43.6
OK-023,Choctaw County,Oklahoma,41.76,-3.61,51,45.37
OK-025,Cimarron County,Oklahoma,10.19,-6.35,7,16.54
OK-027,Cleveland County,Oklahoma,30.39,-4.42,37,34.81
OK-029,Coal County,Oklahoma,35.05,-6.42,33,41.47
OK-031,Comanche County,Oklahoma,29.37,-0.63,59,30
OK-033,Cotton County,Oklahoma,27.27,-2.77,44,30.04
OK-035,Craig County,Oklahoma,34.45,-7.68,19,42.13
OK-037,Creek County,Oklahoma,33.35,-4.22,37,37.57
OK-039,Custer County,Oklahoma,20.71,-5.95,20,26.66
OK-041,Delaware County,Oklahoma,44.38,0.75,73,43.63
OK-043,Dewey County,Oklahoma,19.64,-6.77,15,26.41
OK-045,Ellis County,Oklahoma,17.67,-5.78,18,23.45
OK-047,Garfield County,Oklahoma,26.34,-4.18,37,30.52
OK-049,Garvin County,Oklahoma,29.13,-6.77,30,35.9
OK-051,Grady County,Oklahoma,30.44,-2.04,49,32.48
OK-053,Grant County,Oklahoma,25.1,-4.62,37,29.72
OK-055,Greer County,Oklahoma,19.71,-5.55,26,25.26
OK-057,Harmon County,Oklahoma,18.15,-6.04,19,24.19
OK-059,Harper County,Oklahoma,14.83,-8.36,7,23.19
OK-061,Haskell County,Oklahoma,47.03,2.75,77,44.28
OK-063,Hughes County,Oklahoma,34.98,-6.16,33,41.14
OK-065,Jackson County,Oklahoma,20.71,-4.74,31,25.45
OK-067,Jefferson County,Oklahoma,28.58,-4.06,35,32.64
OK-069,Johnston County,Oklahoma,32.21,-7.41,30,39.62
OK-071,Kay County,Oklahoma,26.51,-6.7,21,33.21
OK-073,Kingfisher County,Oklahoma,25.35,-3.84,28,29.19
OK-075,Kiowa County,Oklahoma,24.33,-3.11,44,27.44
OK-077,Latimer County,Oklahoma,43.38,-3.29,49,46.67
OK-079,Le Flore County,Oklahoma,49.66,2.3,78,47.36
OK-081,Lincoln County,Oklahoma,31.45,-4.39,39,35.84
OK-083,Logan County,Oklahoma,28.73,-2.89,43,31.62
OK-085,Love County,Oklahoma,29.48,-6.47,26,35.95
OK-087,McClain County,Oklahoma,30.03,-4.52,38,34.55
OK-089,McCurtain County,Oklahoma,47.35,-2.21,54,49.56
OK-091,McIntosh County,Oklahoma,42.16,0.28,65,41.88
OK-093,Major County,Oklahoma,22.07,-5.49,21,27.56
OK-095,Marshall County,Oklahoma,32.14,-6.4,30,38.54
OK-097,Mayes County,Oklahoma,41.22,-0.77,65,41.99
OK-099,Murray County,Oklahoma,29.38,-8.83,24,38.21
OK-101,Muskogee County,Oklahoma,46.25,3.9,92,42.35
OK-103,Noble County,Oklahoma,28.77,-4.37,35,33.14
OK-105,Nowata County,Oklahoma,30.42,-9.05,14,39.47
OK-107,Okfuskee County,Oklahoma,33.78,-4.85,37,38.63
OK-109,Oklahoma County,Oklahoma,30.43,-2.54,48,32.97
OK-111,Okmulgee County,Oklahoma,37.77,-2.01,54,39.78
OK-113,Osage County,Oklahoma,28.4,-7.58,17,35.98
OK-115,Ottawa County,Oklahoma,40.61,-1.77,56,42.38
OK-117,Pawnee County,Oklahoma,27.98,-7.21,21,35.19
OK-119,Payne County,Oklahoma,30.43,-3.99,36,34.42
OK-121,Pittsburg County,Oklahoma,38.53,-6.02,38,44.55
OK-123,Pontotoc County,Oklahoma,31.96,-7.52,26,39.48
OK-125,Pottawatomie County,Oklahoma,32.01,-4.47,41,36.48
OK-127,Pushmataha County,Oklahoma,42.33,-6.23,38,48.56
OK-129,Roger Mills County,Oklahoma,18.52,-6.1,17,24.62
OK-131,Rogers County,Oklahoma,35.88,-3.66,43,39.54
OK-133,Seminole County,Oklahoma,32.77,-5.43,35,38.2
OK-135,Sequoyah County,Oklahoma,50.83,5.95,95,44.89
OK-137,Stephens County,Oklahoma,31.53,-1.56,54,33.09
OK-139,Texas County,Oklahoma,10.55,-7.61,3,18.16
OK-141,Tillman County,Oklahoma,23.88,-3.19,43,27.07
OK-143,Tulsa County,Oklahoma,34.39,-4.08,41,38.47
OK-145,Wagoner County,Oklahoma,42.53,1.53,77,41
OK-147,Washington County,Oklahoma,30.44,-7.33,23,37.77
OK-149,Washita County,Oklahoma,23.61,-3.38,43,26.99
OK-151,Woods County,Oklahoma,17.92,-7.85,10,25.77
OK-153,Woodward County,Oklahoma,18.23,-6.76,15,24.99
OR-001,Baker County,Oregon,19.22,-1.89,43,21.11
OR-003,Benton County,Oregon,55.82,-2.21,58,58.03
OR-005,Clackamas County,Oregon,75.82,1.64,74,74.18
OR-007,Clatsop County,Oregon,85.09,-3.78,57,88.87
OR-009,Columbia County,Oregon,52.78,-3.5,50,56.28
OR-011,Coos County,Oregon,52.56,-16.19,15,68.75
OR-013,Crook County,Oregon,12.66,-1.98,41,14.64
OR-015,Curry County,Oregon,63.5,-22.48,13,85.98
OR-017,Deschutes County,Oregon,21.18,-2.42,47,23.6
OR-019,Douglas County,Oregon,46.22,-6.96,35,53.18
OR-021,Gilliam County,Oregon,13.14,1.95,107,11.19
OR-023,Grant County,Oregon,20.04,-0.68,60,20.72
OR-025,Harney County,Oregon,10.09,-2.74,26,12.83
OR-027,Hood River County,Oregon,60.98,2.68,75,58.3
OR-029,Jackson County,Oregon,29.72,-7.03,23,36.75
OR-031,Jefferson County,Oregon,17.34,-0.98,56,18.32
OR-033,Josephine County,Oregon,41.74,-12.5,20,54.24
OR-035,Klamath County,Oregon,22.22,-4.8,27,27.02
OR-037,Lake County,Oregon,11.34,-3.05,28,14.39
OR-039,Lane County,Oregon,60.14,-3.73,55,63.87
OR-041,Lincoln County,Oregon,88.76,-0.9,65,89.66
OR-043,Linn County,Oregon,65.61,-3.83,51,69.44
OR-045,Malheur County,Oregon,11.64,-0.91,47,12.55
OR-047,Marion County,Oregon,62.15,-1.3,67,63.45
OR-049,Morrow County,Oregon,17.51,3.44,112,14.07
OR-051,Multnomah County,Oregon,65.24,2.92,81,62.32
OR-053,Polk County,Oregon,63.52,-2.97,58,66.49
OR-055,Sherman County,Oregon,15.7,2.6,109,13.1
OR-057,Tillamook County,Oregon,98.84,-2.03,60,100.87
OR-059,Umatilla County,Oregon,24.93,4.57,117,20.36
OR-061,Union County,Oregon,29.79,1.07,78,28.72
OR-063,Wallowa County,Oregon,27.58,0.17,72,27.41
OR-065,Wasco County,Oregon,20.64,0.51,77,20.13
OR-067,Washington County,Oregon,53.93,-1.69,60,55.62
OR-069,Wheeler County,Oregon,15.92,-0.08,68,16
OR-071,Yamhill County,Oregon,57.64,-3.09,56,60.73
PA-001,Adams County,Pennsylvania,42.63,0.34,69,42.29
PA-003,Allegheny County,Pennsylvania,42.54,4.18,101,38.36
PA-005,Armstrong County,Pennsylvania,49.13,6.94,114,42.19
PA-007,Beaver County,Pennsylvania,43.84,5.8,111,38.04
PA-009,Bedford County,Pennsylvania,42.04,3.92,98,38.12
PA-011,Berks County,Pennsylvania,44.25,-0.02,64,44.27
PA-013,Blair County,Pennsylvania,44.01,4.4,104,39.61
PA-015,Bradford County,Pennsylvania,38.71,1.83,82,36.88
PA-017,Bucks County,Pennsylvania,45.49,-0.01,64,45.5
PA-019,Butler County,Pennsylvania,42.95,2.26,82,40.69
PA-021,Cambria County,Pennsylvania,47.86,4.39,103,43.47
PA-023,Cameron County,Pennsylvania,42.58,1.35,80,41.23
PA-025,Carbon County,Pennsylvania,50.48,1.93,78,48.55
PA-027,Centre County,Pennsylvania,43.32,2.43,93,40.89
PA-029,Chester County,Pennsylvania,47.74,2.82,85,44.92
PA-031,Clarion County,Pennsylvania,46.28,3.15,96,43.13
PA-033,Clearfield County,Pennsylvania,44.69,2.54,94,42.15
PA-035,Clinton County,Pennsylvania,43.49,2.96,94,40.53
PA-037,Columbia County,Pennsylvania,44.8,2.32,91,42.48
PA-039,Crawford County,Pennsylvania,44.57,1.77,78,42.8
PA-041,Cumberland County,Pennsylvania,42.91,1.42,73,41.49
PA-043,Dauphin County,Pennsylvania,44.86,1.76,80,43.1
PA-045,Delaware County,Pennsylvania,41.89,-2.39,42,44.28
PA-047,Elk County,Pennsylvania,46.64,3.64,99,43
PA-049,Erie County,Pennsylvania,49,6.05,113,42.95
PA-051,Fayette County,Pennsylvania,48.53,3.91,92,44.62
PA-053,Forest County,Pennsylvania,46.88,3.12,90,43.76
PA-055,Franklin County,Pennsylvania,40.09,-0.37,66,40.46
PA-057,Fulton County,Pennsylvania,40.98,2.12,86,38.86
PA-059,Greene County,Pennsylvania,46.22,5.23,103,40.99
PA-061,Huntingdon County,Pennsylvania,42.98,3.67,99,39.31
PA-063,Indiana County,Pennsylvania,50.63,6.68,114,43.95
PA-065,Jefferson County,Pennsylvania,45.01,1.53,84,43.48
PA-067,Juniata County,Pennsylvania,44.87,3.28,95,41.59
PA-069,Lackawanna County,Pennsylvania,49.37,7.23,110,42.14
PA-071,Lancaster County,Pennsylvania,44.98,3.02,87,41.96
PA-073,Lawrence County,Pennsylvania,40.97,2.18,78,38.79
PA-075,Lebanon County,Pennsylvania,44.57,1.15,62,43.42
PA-077,Lehigh County,Pennsylvania,47.28,1.81,78,45.47
PA-079,Luzerne County,Pennsylvania,47.42,4.5,101,42.92
PA-081,Lycoming County,Pennsylvania,44.03,2.65,88,41.38
PA-083,McKean County,Pennsylvania,46.34,3.02,94,43.32
PA-085,Mercer County,Pennsylvania,40.68,-0.13,59,40.81
PA-087,Mifflin County,Pennsylvania,44.67,3.82,96,40.85
PA-089,Monroe County,Pennsylvania,53.39,5.46,101,47.93
PA-091,Montgomery County,Pennsylvania,45.5,0.68,67,44.82
PA-093,Montour County,Pennsylvania,42.39,1.24,78,41.15
PA-095,Northampton County,Pennsylvania,46.4,0.63,66,45.77
PA-097,Northumberland County,Pennsylvania,42.7,1.29,83,41.41
PA-099,Perry County,Pennsylvania,44.38,1.75,82,42.63
PA-101,Philadelphia County,Pennsylvania,41.81,-2.34,44,44.15
PA-103,Pike County,Pennsylvania,47.3,3,82,44.3
PA-105,Potter County,Pennsylvania,40.31,0.24,68,40.07
PA-107,Schuylkill County,Pennsylvania,47.85,1.32,75,46.53
PA-109,Snyder County,Pennsylvania,43.76,1.32,75,42.44
PA-111,Somerset County,Pennsylvania,46.97,3.48,90,43.5
PA-113,Sullivan County,Pennsylvania,45.97,2.04,86,43.93
PA-115,Susquehanna County,Pennsylvania,46.29,5.54,102,40.75
PA-117,Tioga County,Pennsylvania,37.85,1.5,77,36.35
PA-119,Union County,Pennsylvania,42.89,1.53,83,41.36
PA-121,Venango County,Pennsylvania,44.98,2.85,89,42.13
PA-123,Warren County,Pennsylvania,47.99,4.39,100,43.6
PA-125,Washington County,Pennsylvania,44.61,5.38,110,39.23
PA-127,Wayne County,Pennsylvania,49.08,6.45,103,42.63
PA-129,Westmoreland County,Pennsylvania,48.14,5.83,110,42.31
PA-131,Wyoming County,Pennsylvania,45.82,5.26,105,40.56
PA-133,York County,Pennsylvania,42.37,0.95,70,41.42
RI-001,Bristol County,Rhode Island,46.06,1.32,73,44.74
RI-003,Kent County,Rhode Island,48.64,2.72,88,45.92
RI-005,Newport County,Rhode Island,45.02,1.82,81,43.2
RI-007,Providence County,Rhode Island,48.59,2.26,76,46.33
RI-009,Washington County,Rhode Island,44.76,0.92,72,43.84
SC-001,Abbeville County,South Carolina,44.14,-3.76,47,47.9
SC-003,Aiken County,South Carolina,43.56,-1.94,52,45.5
SC-005,Allendale County,South Carolina,46.01,-0.34,62,46.35
SC-007,Anderson County,South Carolina,42.04,-6.87,31,48.91
SC-009,Bamberg County,South Carolina,50.9,4.27,99,46.63
SC-011,Barnwell County,South Carolina,48.68,2.55,89,46.13
SC-013,Beaufort County,South Carolina,42.4,-5.69,32,48.09
SC-015,Berkeley County,South Carolina,45.03,-3.44,45,48.47
SC-017,Calhoun County,South Carolina,47.03,0.99,73,46.04
SC-019,Charleston County,South Carolina,45,-3.4,40,48.4
SC-021,Cherokee County,South Carolina,44.66,-4.26,44,48.92
SC-023,Chester County,South Carolina,43.11,-2.97,48,46.08
SC-025,Chesterfield County,South Carolina,44.53,-1.29,59,45.82
SC-027,Clarendon County,South Carolina,45.93,-1.82,62,47.75
SC-029,Colleton County,South Carolina,46.03,-1.64,54,47.67
SC-031,Darlington County,South Carolina,45.34,-0.46,66,45.8
SC-033,Dillon County,South Carolina,41.3,-4.49,32,45.79
SC-035,Dorchester County,South Carolina,46.33,-1.39,57,47.72
SC-037,Edgefield County,South Carolina,41.56,-4.21,37,45.77
SC-039,Fairfield County,South Carolina,43.18,-2.32,50,45.5
SC-041,Florence County,South Carolina,45.87,-1.19,65,47.06
SC-043,Georgetown County,South Carolina,46.16,-3.34,40,49.5
SC-045,Greenville County,South Carolina,51.33,-4.33,43,55.66
SC-047,Greenwood County,South Carolina,43.08,-3.83,41,46.91
SC-049,Hampton County,South Carolina,43.51,-3.57,42,47.08
SC-051,Horry County,South Carolina,47.38,-1.45,56,48.83
SC-053,Jasper County,South Carolina,41.23,-6.99,24,48.22
SC-055,Kershaw County,South Carolina,40.41,-5.36,33,45.77
SC-057,Lancaster County,South Carolina,43.6,-1.88,56,45.48
SC-059,Laurens County,South Carolina,44.54,-3.33,48,47.87
SC-061,Lee County,South Carolina,43.49,-2.78,51,46.27
SC-063,Lexington County,South Carolina,43.03,-2.63,46,45.66
SC-065,McCormick County,South Carolina,41.55,-5.06,37,46.61
SC-067,Marion County,South Carolina,45.27,-2.02,55,47.29
SC-069,Marlboro County,South Carolina,43.17,-2.7,48,45.87
SC-071,Newberry County,South Carolina,45.03,-0.95,66,45.98
SC-073,Oconee County,South Carolina,57.92,-2.94,56,60.86
SC-075,Orangeburg County,South Carolina,48.26,1.59,82,46.67
SC-077,Pickens County,South Carolina,55.76,-3.06,54,58.82
SC-079,Richland County,South Carolina,44.19,-1.1,60,45.29
SC-081,Saluda County,South Carolina,46.19,0.16,74,46.03
SC-083,Spartanburg County,South Carolina,48.96,-2.29,57,51.25
SC-085,Sumter County,South Carolina,43.53,-2.85,50,46.38
SC-087,Union County,South Carolina,46.23,-1.75,59,47.98
SC-089,Williamsburg County,South Carolina,45.96,-2.63,51,48.59
SC-091,York County,South Carolina,41.95,-4.9,39,46.85
SD-003,Aurora County,South Dakota,16.12,-5.29,14,21.41
SD-005,Beadle County,South Dakota,18.72,-1.53,49,20.25
SD-007,Bennett County,South Dakota,14.36,-3.96,19,18.32
SD-009,Bon Homme County,South Dakota,16.41,-7.66,10,24.07
SD-011,Brookings County,South Dakota,23.88,0.79,71,23.09
SD-013,Brown County,South Dakota,20.66,0.53,73,20.13
SD-015,Brule County,South Dakota,16.86,-3.24,29,20.1
SD-017,Buffalo County,South Dakota,18.42,-0.44,61,18.86
SD-019,Butte County,South Dakota,13.37,-2.14,47,15.51
SD-021,Campbell County,South Dakota,16.88,-0.3,61,17.18
SD-023,Charles Mix County,South Dakota,17.43,-4.99,18,22.42
SD-025,Clark County,South Dakota,19.83,-1.98,41,21.81
SD-027,Clay County,South Dakota,17.41,-8.01,12,25.42
SD-029,Codington County,South Dakota,22.73,-0.14,64,22.87
SD-031,Corson County,South Dakota,16.14,-0.74,56,16.88
SD-033,Custer County,South Dakota,15.02,-2.8,29,17.82
SD-035,Davison County,South Dakota,16.63,-5.11,15,21.74
SD-037,Day County,South Dakota,20.72,-0.95,54,21.67
SD-039,Deuel County,South Dakota,24.98,1.14,72,23.84
SD-041,Dewey County,South Dakota,16.52,-0.41,58,16.93
SD-043,Douglas County,South Dakota,17.32,-5.04,17,22.36
SD-045,Edmunds County,South Dakota,21.13,2.19,90,18.94
SD-047,Fall River County,South Dakota,12.56,-4.08,16,16.64
SD-049,Faulk County,South Dakota,21.94,3.06,97,18.88
SD-051,Grant County,South Dakota,22.15,-1.11,45,23.26
SD-053,Gregory County,South Dakota,17.75,-3.97,23,21.72
SD-055,Haakon County,South Dakota,12.65,-4.39,14,17.04
SD-057,Hamlin County,South Dakota,22.02,-0.63,56,22.65
SD-059,Hand County,South Dakota,21.1,1.77,82,19.33
SD-061,Hanson County,South Dakota,17.54,-4.66,17,22.2
SD-063,Harding County,South Dakota,13.54,-1.03,55,14.57
SD-065,Hughes County,South Dakota,18.7,1.52,88,17.18
SD-067,Hutchinson County,South Dakota,17.05,-6.54,11,23.59
SD-069,Hyde County,South Dakota,20.34,2.24,90,18.1
SD-071,Jackson County,South Dakota,14.2,-3.17,26,17.37
SD-073,Jerauld County,South Dakota,17.69,-3.08,35,20.77
SD-075,Jones County,South Dakota,16.12,-1.26,51,17.38
SD-077,Kingsbury County,South Dakota,18.79,-3.49,28,22.28
SD-079,Lake County,South Dakota,21.51,-2.13,44,23.64
SD-081,Lawrence County,South Dakota,20.11,-3.81,33,23.92
SD-083,Lincoln County,South Dakota,18.21,-7.44,10,25.65
SD-085,Lyman County,South Dakota,18.4,0.09,67,18.31
SD-087,McCook County,South Dakota,18.63,-5.23,19,23.86
SD-089,McPherson County,South Dakota,20.19,1.44,84,18.75
SD-091,Marshall County,South Dakota,20.1,-1,52,21.1
SD-093,Meade County,South Dakota,13.87,-3.05,30,16.92
SD-095,Mellette County,South Dakota,16.72,-1.55,52,18.27
SD-097,Miner County,South Dakota,18.41,-3.63,23,22.04
SD-099,Minnehaha County,South Dakota,21.01,-4.05,25,25.06
SD-101,Moody County,South Dakota,22.56,-1.36,47,23.92
SD-102,Oglala Lakota County,South Dakota,13.2,-4.04,18,17.24
SD-103,Pennington County,South Dakota,15.62,-2.31,42,17.93
SD-105,Perkins County,South Dakota,12.8,-3.02,25,15.82
SD-107,Potter County,South Dakota,18.64,0.96,75,17.68
SD-109,Roberts County,South Dakota,21.79,-0.22,59,22.01
SD-111,Sanborn County,South Dakota,16.72,-4.36,19,21.08
SD-115,Spink County,South Dakota,20.62,0.63,70,19.99
SD-117,Stanley County,South Dakota,15.33,-1.28,47,16.61
SD-119,Sully County,South Dakota,17.59,0.89,75,16.7
SD-121,Todd County,South Dakota,17.07,-2.4,39,19.47
SD-123,Tripp County,South Dakota,16.56,-3.49,27,20.05
SD-125,Turner County,South Dakota,17.67,-7.44,11,25.11
SD-127,Union County,South Dakota,17.77,-8.2,9,25.97
SD-129,Walworth County,South Dakota,17.92,-0.05,62,17.97
SD-135,Yankton County,South Dakota,15.96,-8.78,6,24.74
SD-137,Ziebach County,South Dakota,12.99,-3.3,28,16.29
TN-001,Anderson County,Tennessee,59.04,6.94,100,52.1
TN-003,Bedford County,Tennessee,61.81,8.69,112,53.12
TN-005,Benton County,Tennessee,50.16,-0.72,63,50.88
TN-007,Bledsoe County,Tennessee,63.43,7.41,106,56.02
TN-009,Blount County,Tennessee,55.5,1.72,77,53.78
TN-011,Bradley County,Tennessee,56.19,3.81,91,52.38
TN-013,Campbell County,Tennessee,58.49,6.88,100,51.61
TN-015,Cannon County,Tennessee,62.7,8.6,112,54.1
TN-017,Carroll County,Tennessee,52.99,2.05,74,50.94
TN-019,Carter County,Tennessee,48.26,0.71,63,47.55
TN-021,Cheatham County,Tennessee,47.15,-1.84,57,48.99
TN-023,Chester County,Tennessee,55.36,3.73,80,51.63
TN-025,Claiborne County,Tennessee,50.34,0.06,64,50.28
TN-027,Clay County,Tennessee,55.14,2.66,84,52.48
TN-029,Cocke County,Tennessee,45.31,-2.55,43,47.86
TN-031,Coffee County,Tennessee,60.97,6.6,98,54.37
TN-033,Crockett County,Tennessee,49.82,-0.32,65,50.14
TN-035,Cumberland County,Tennessee,63.05,8.03,102,55.02
TN-037,Davidson County,Tennessee,50.91,2.5,83,48.41
TN-039,Decatur County,Tennessee,55.87,3.64,82,52.23
TN-041,DeKalb County,Tennessee,58.56,5.32,95,53.24
TN-043,Dickson County,Tennessee,48.52,-1.69,58,50.21
TN-045,Dyer County,Tennessee,46,-2.49,53,48.49
TN-047,Fayette County,Tennessee,56.67,4.59,86,52.08
TN-049,Fentress County,Tennessee,58.38,5.32,96,53.06
TN-051,Franklin County,Tennessee,64.09,9.57,106,54.52
TN-053,Gibson County,Tennessee,51.48,1.13,73,50.35
TN-055,Giles County,Tennessee,59.56,5.53,90,54.03
TN-057,Grainger County,Tennessee,46.9,-0.73,57,47.63
TN-059,Greene County,Tennessee,43.32,-0.82,51,44.14
TN-061,Grundy County,Tennessee,64.1,7.23,101,56.87
TN-063,Hamblen County,Tennessee,43.72,-1.59,53,45.31
TN-065,Hamilton County,Tennessee,56.69,2.12,84,54.57
TN-067,Hancock County,Tennessee,48.69,0.26,64,48.43
TN-069,Hardeman County,Tennessee,57.69,5.19,87,52.5
TN-071,Hardin County,Tennessee,53.46,1.22,77,52.24
TN-073,Hawkins County,Tennessee,46,0.12,63,45.88
TN-075,Haywood County,Tennessee,52.51,1.84,74,50.67
TN-077,Henderson County,Tennessee,55.53,3.98,83,51.55
TN-079,Henry County,Tennessee,48.33,-1.86,54,50.19
TN-081,Hickman County,Tennessee,54.83,2.91,79,51.92
TN-083,Houston County,Tennessee,48.73,-1.61,56,50.34
TN-085,Humphreys County,Tennessee,50.34,-1.07,59,51.41
TN-087,Jackson County,Tennessee,56.71,3.42,88,53.29
TN-089,Jefferson County,Tennessee,46.15,0.32,63,45.83
TN-091,Johnson County,Tennessee,52.5,3.56,90,48.94
TN-093,Knox County,Tennessee,54.68,5.42,95,49.26
TN-095,Lake County,Tennessee,48.72,0.44,69,48.28
TN-097,Lauderdale County,Tennessee,48.97,-0.34,66,49.31
TN-099,Lawrence County,Tennessee,56.95,2.54,77,54.41
TN-101,Lewis County,Tennessee,58.71,5.51,91,53.2
TN-103,Lincoln County,Tennessee,65.41,11.03,114,54.38
TN-105,Loudon County,Tennessee,55.56,3.91,91,51.65
TN-107,McMinn County,Tennessee,55.61,2.92,87,52.69
TN-109,McNairy County,Tennessee,56.19,4.03,82,52.16
TN-111,Macon County,Tennessee,56,3.3,86,52.7
TN-113,Madison County,Tennessee,53.72,2.48,76,51.24
TN-115,Marion County,Tennessee,62.85,6.12,93,56.73
TN-117,Marshall County,Tennessee,63.1,10.32,118,52.78
TN-119,Maury County,Tennessee,55,3.45,83,51.55
TN-121,Meigs County,Tennessee,57.77,4.14,92,53.63
TN-123,Monroe County,Tennessee,54.57,-1.09,63,55.66
TN-125,Montgomery County,Tennessee,47.04,-1.84,54,48.88
TN-127,Moore County,Tennessee,63.46,8.95,110,54.51
TN-129,Morgan County,Tennessee,58.23,5.21,91,53.02
TN-131,Obion County,Tennessee,51.96,2.35,79,49.61
TN-133,Overton County,Tennessee,58.62,5.03,93,53.59
TN-135,Perry County,Tennessee,57.12,4.31,86,52.81
TN-137,Pickett County,Tennessee,56.82,4.43,93,52.39
TN-139,Polk County,Tennessee,56.21,1.62,75,54.59
TN-141,Putnam County,Tennessee,59.44,4.9,91,54.54
TN-143,Rhea County,Tennessee,61.04,5.72,97,55.32
TN-145,Roane County,Tennessee,56.64,4.28,87,52.36
TN-147,Robertson County,Tennessee,52.99,4.04,89,48.95
TN-149,Rutherford County,Tennessee,58.17,7.11,106,51.06
TN-151,Scott County,Tennessee,56.91,4.31,90,52.6
TN-153,Sequatchie County,Tennessee,61.93,4.67,89,57.26
TN-155,Sevier County,Tennessee,56.37,1.9,73,54.47
TN-157,Shelby County,Tennessee,54.86,4.17,82,50.69
TN-159,Smith County,Tennessee,56.28,3.46,91,52.82
TN-161,Stewart County,Tennessee,47.03,-2.76,46,49.79
TN-163,Sullivan County,Tennessee,43.98,0.09,62,43.89
TN-165,Sumner County,Tennessee,55.57,5.45,95,50.12
TN-167,Tipton County,Tennessee,54.28,4.16,81,50.12
TN-169,Trousdale County,Tennessee,55.88,4.05,91,51.83
TN-171,Unicoi County,Tennessee,47.06,-1.67,48,48.73
TN-173,Union County,Tennessee,52.76,3.35,87,49.41
TN-175,Van Buren County,Tennessee,63.41,8.77,110,54.64
TN-177,Warren County,Tennessee,62.55,8.78,112,53.77
TN-179,Washington County,Tennessee,42.94,-1.19,48,44.13
TN-181,Wayne County,Tennessee,56.3,2.28,79,54.02
TN-183,Weakley County,Tennessee,50.31,-0.19,63,50.5
TN-185,White County,Tennessee,60.88,6.59,100,54.29
TN-187,Williamson County,Tennessee,50.43,0.39,71,50.04
TN-189,Wilson County,Tennessee,55.12,3.58,88,51.54
TX-001,Anderson County,Texas,35.32,-6.24,34,41.56
TX-003,Andrews County,Texas,8.33,-6.33,12,14.66
TX-005,Angelina County,Texas,41.4,-7.2,33,48.6
TX-007,Aransas County,Texas,29.19,-4.56,43,33.75
TX-009,Archer County,Texas,22.46,-5.22,28,27.68
TX-011,Armstrong County,Texas,16.01,-4.87,21,20.88
TX-013,Atascosa County,Texas,13.87,-12.79,6,26.66
TX-015,Austin County,Texas,27.88,-13.17,11,41.05
TX-017,Bailey County,Texas,13.54,-3.89,25,17.43
TX-019,Bandera County,Texas,13.67,-16.21,2,29.88
TX-021,Bastrop County,Texas,25.4,-9.67,17,35.07
TX-023,Baylor County,Texas,22.33,-3.22,35,25.55
TX-025,Bee County,Texas,22.6,-7.58,27,30.18
TX-027,Bell County,Texas,20.68,-12.33,7,33.01
TX-029,Bexar County,Texas,12.85,-16.85,1,29.7
TX-031,Blanco County,Texas,13.03,-18.03,2,31.06
TX-033,Borden County,Texas,10.59,-8.25,7,18.84
TX-035,Bosque County,Texas,20.15,-12.07,6,32.22
TX-037,Bowie County,Texas,45.34,-2.36,62,47.7
TX-039,Brazoria County,Texas,35.35,-10.02,19,45.37
TX-041,Brazos County,Texas,33.34,-6.19,32,39.53
TX-043,Brewster County,Texas,12.08,-1,56,13.08
TX-045,Briscoe County,Texas,16.08,-4.81,24,20.89
TX-047,Brooks County,Texas,18.8,-4.94,31,23.74
TX-049,Brown County,Texas,18.01,-8.77,8,26.78
TX-051,Burleson County,Texas,29.84,-7.75,26,37.59
TX-053,Burnet County,Texas,18.96,-11.28,8,30.24
TX-055,Caldwell County,Texas,20.15,-13.29,9,33.44
TX-057,Calhoun County,Texas,30.05,-7.83,30,37.88
TX-059,Callahan County,Texas,18.55,-7.26,16,25.81
TX-061,Cameron County,Texas,23.57,-1.25,57,24.82
TX-063,Camp County,Texas,41.05,-3.47,49,44.52
TX-065,Carson County,Texas,15.93,-4.74,22,20.67
TX-067,Cass County,Texas,46.39,-0.97,63,47.36
TX-069,Castro County,Texas,12.47,-6.15,11,18.62
TX-071,Chambers County,Texas,46.06,-3.55,48,49.61
TX-073,Cherokee County,Texas,41.53,-2.95,49,44.48
TX-075,Childress County,Texas,16.48,-6.09,19,22.57
TX-077,Clay County,Texas,25.01,-5.03,30,30.04
TX-079,Cochran County,Texas,12.18,-5.3,17,17.48
TX-081,Coke County,Texas,13.82,-8.13,8,21.95
TX-083,Coleman County,Texas,18.53,-7.37,14,25.9
TX-085,Collin County,Texas,36.25,-1.78,53,38.03
TX-087,Collingsworth County,Texas,17.69,-5.55,24,23.24
TX-089,Colorado County,Texas,29.71,-10.76,15,40.47
TX-091,Comal County,Texas,15.03,-17.51,2,32.54
TX-093,Comanche County,Texas,17.91,-10.35,5,28.26
TX-095,Concho County,Texas,16.28,-7.74,14,24.02
